index,md5,aHash,aHash_binary,dHash,dHash_binary,pHash,pHash_binary,wHash,wHash_binary
38,01774e34e8a444685b1499eef3406cd0,4359202678933519896,0011110001111110111111111011110110001101110000110111111000011000,14749906882763330800,1100110010110010001100100010100101011001001100101001010011110000,15404356027868934099,1101010111000111010001000011000100001010110001100110111111010011,4359200325823915528,0011110001111110111111011001100110101101100000000110011000001000
39,018509c1165817d4b0a3e728eab41ea0,900296056195923456,0000110001111110011111100111111000111110001111100011111000000000,15625435388407104192,1101100011011000101100101011001011011010110100101100001011000000,9653564789436017167,1000010111111000010110100000011101111010100011010110101000001111,35534558996610560,0000000001111110001111100111111000111110001111100011111000000000
40,019a689dcc5128d85718bd043197b311,7669361988362240,0000000000011011001111110011111001111100111110000110000000000000,13164976003560359120,1011011010110011011000111110110010011000110000011100010011010000,14167266079434862256,1100010010011100001111010111000000010111001001111110111010110000,1305831958906429440,0001001000011111001111110011111101111110111110000110000000000000
41,01a2c13c42f1a0557421d341f4165423,9114857242111246336,0111111001111110011110100101111001111110011100000000000000000000,9417790640714340864,1000001010110010101101101011000010101100110001101101101000000000,14166191130780722972,1100010010011000011010111100011100011010011110010110011100011100,8970746589520855040,0111110001111110011111100111111001111110011100000000000000000000
42,01a7af987d7b2f6f355e37c8580cb45a,28286579424129024,0000000001100100011111100111111001111110011111000111000000000000,57663839081119872,0000000011001100110111001111010011000100110100001100000010000000,13886619976202755312,1100000010110111001011110100101100111100011010001001110011110000,35041978865315840,0000000001111100011111100111111001111110011111100111000000000000
43,01a80983ca18bdebde379d9210c56f2a,71774601310305792,0000000011111110111111101001111010011110111111101111111000000000,9985105138047420994,1000101010010010001110000011100000111110001111101000101001000010,15409737605239683630,1101010111011010011000101011010100101010010010100011101000101110,71666780445015552,0000000011111110100111001000111010011110100111101111111000000000
44,01c54a641a680db307d84eac7efecd21,0,0000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000
45,01dc06e8c987825776a43f1f7ef5e41a,4539082650802929470,0011111011111110000011111001111100101111001111110011111100111110,15607286325491974848,1101100010011000001110000011100011011010110000101100001011000000,9797659086178684701,1000011111111000010001110000011101010110000011110000111100011101,4354434438478577200,0011110001101110000011110000110100001111001111100011111000110000
46,01e438effb7eb350308ffc0c2d0a60b4,9114861777597660798,0111111001111110011111100111111001111110011111100111111001111110,15342898532270535876,1101010011101100111011001110110011001000110110001111010011000100,9571936642278894413,1000010011010110010110011010100101101111100101000010101101001101,4500915128533655040,0011111001110110011101100111011001101000011011100001111000000000
47,01f4e5e30cf25fc9c3be52baf78aa769,3492638784452166144,0011000001111000010110000111100000111100000001100000001000000000,6976272503988315656,0110000011010000101100101110000101101000100011000110011000001000,14252044774775009336,1100010111001001011011110011011001001011011011010011000000111000,3492815273282440968,0011000001111000111110001111110000111110000011110000111100001000
48,01fb11b245a6a2525da77aebd2879dcf,9149874936595021312,0111111011111010111000101100011011010110111111101111111000000000,13859359618660356236,1100000001010110010101100010010010100100101001001101000010001100,15340680436709010358,1101010011100101000010111001010000101010110100110010101110110110,9124999559758413312,0111111010100010100000101100000011010110111111101111111000000000
49,021a7df411130759b3362615b8603183,66228869413888,0000000000000000001111000011110000011100001111000011110000000000,14165625614985423254,1100010010010110011010010111000110110010011000010110100110010110,11183675156467206009,1001101100110100011001010100110100011000100101101100011101111001,66229456813826,0000000000000000001111000011110000111111001111110011111100000010
50,0224b573793d1780e3fec22739526c8f,33913879935221374,0000000001111000011111000111111001111110011111100111111001111110,15047037442543899860,1101000011010001110100001101010011010100110101001101010011010100,13937351382575363126,1100000101101011011010110011110100111100001101000011010000110110,15899205469879868,0000000000111000011111000011111000111110001111100011111000111100
51,02253fcfd34fed3ea95f32dbc35bb199,71776668800319232,0000000011111111000000000111111111111111000000001111111100000000,9259823602545500304,1000000010000001100000001000000110000000100000001010000010010000,9279167745359232964,1000000011000110001110011110011010111001011001100011111111000100,71915765611167488,0000000011111111011111110000000111111111000000001111111100000000
52,022a18588237d215dba098f9b5ec459d,72340241960238591,0000000100000001000000010001000100011001000000010111110111111111,364005648271000049,0000010100001101001101010011010101100001011011011100000111110001,9958799303001191627,1000101000110100110000110011001110111100110010110011010011001011,4539928664567021055,0011111100000001000100010001000100011101001000010111110111111111
53,023af81312bad70bd7dfc49b5269e419,4070196805923405372,0011100001111100001111100110111000011110111111100111111000111100,15118817994142964948,1101000111010000110101001101110011011100101011001101110011010100,15369461133072215061,1101010101001011010010110111100000111001111100010010110000010101,34971539531005472,0000000001111100001111100110111000001110111111100111111000100000
54,0244187ca2c3bdbfaa84384389fad113,8011882485120768,0000000000011100011101101100001111000001100000011111111100000000,9257655385521850048,1000000001111001110011001000011000100011000000110000011011000000,17582650235113793222,1111010000000010000111110011101101100001111001010110011011000110,17161073396416256,0000000000111100111101111110011111000011110000011111111100000000
55,025c1c35c3198e6e3497d5dbf97ae81f,4359060571092709376,0011110001111110011111100111111001111110011001000111000000000000,16788554012722775652,1110100011111100111011001110110011001100110011001100011001100100,14235947018085939853,1100010110010000001111100110001100111110010010110011101010001101,2053217561878753280,0001110001111110011111100111111001111110011000000111000000000000
56,025dbb871eb7228075abf0abb4a4429e,35039745079671932,0000000001111100011111000111011001100110011111100111110001111100,15047041806095938804,1101000011010001110101001100110011001100110011001111010011110100,15018149330902333076,1101000001101011001011110011111100110100001101000011011010010100,35039736456051836,0000000001111100011111000111010001100100011111000111110001111100
57,0264076c190af6e1176e1abff47d1ae8,900296056195923456,0000110001111110011111100111111000111110001111100011111000000000,15625435388138668736,1101100011011000101100101011001011001010110100101100001011000000,9644557590183357071,1000010111011000010110100000011101111010101011010010101010001111,35534558996610560,0000000001111110001111100111111000111110001111100011111000000000
58,026936afbbbdd9034f0a24b4032bd2f8,8961141118232067710,0111110001011100010111100101111001101110010111100111111001111110,11067796979961211112,1001100110011000101101101011011010101100101110101010100011101000,15013535282694467014,1101000001011010110010101100101101100011110011000010110111000110,8961127871880519294,0111110001011100010100100101001001000110010010100101111001111110
59,0269fd9a20a0c422adedd24cc9a45ba1,0,0000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000
60,026fe95194cfad085bd36dd775bd0154,18374687300027220479,1111111100000000000000001011111100000001000000010000000111111111,3002119103460618089,0010100110101001101010110110101100101111001011110010111101101001,12270850192854455591,1010101001001010110100010011110010010101000111111001010100100111,18392984547936633343,1111111101000001000000011111111100000011000000110000000111111111
61,0283bdfbf5f41d11324ca19d415e1ff4,2222477309175383830,0001111011010111110100110101011001100110110000111100011100010110,13307770412753399468,1011100010101110101100101010111011001100100111101010111010101100,13028095905912940901,1011010011001101000110000011001101011011101010010110100101100101,204873746002462478,0000001011010111110110111001011000100110010001111100011100001110
62,028803f47cbe92f4b95b4d406fd11efe,0,0000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000
63,02abd6dc50414d9fc95af4fcc3609fe8,7961940272984374272,0110111001111110011111100111111001111110000111000011110000000000,11293001314402367712,1001110010111000110011001101110011010000111110001111100011100000,15057075243039548259,1101000011110101011110100010100001100001101100110110001101100011,7385461928493849600,0110011001111110011011100111111001111110000011000001110000000000
64,02ae85cb3677af2e5fc256e3bf7c9408,9006917710776253952,0111110011111110111111111110111111101111111111100011111000000000,15322541825058339390,1101010010100100100110101001101110001010101010101111101000111110,15119169740269645455,1101000111010010000101001100011000100011100110110110111010001111,4358604062953446912,0011110001111100110111110100110101101000111010100001111000000000
65,02bdd955ea558eb7e654edaeabd0720b,3761662510302723620,0011010000110100000111000001111101111011011111110111111000100100,7234317959007226572,0110010001100101011101011101101011001010110110101100101011001100,9303969270102310859,1000000100011110010101101100000110110001100110010011111111001011,3761662510302460420,0011010000110100000111000001111101111011011110110111101000000100
66,02c1da1c668ac71995f56c2c198d7d73,8970183639568357376,0111110001111100011111100111111001111110011111100001100000000000,14540096577180840112,1100100111001000110011001100110011011010101111001011000010110000,13889781682813057385,1100000011000010011010101101100101101011110011001011100101101001,8681953263146110976,0111100001111100011111100111111001101110010111100001000000000000
67,02f3a2752b9a79ffccd99a1da8fb875c,4359133441142913795,0011110001111110110000001100010011011111110110010111101100000011,17349152382929523442,1111000011000100100100100010110000101010101000101101001011110010,13894176180381841977,1100000011010010000001111001111100011110010110100111101000111001,4356899242105194753,0011110001110110110100001100011011011111110110010100100100000001
68,02f87d0e5f5182146c13c62504611b51,8409756796560434927,0111010010110101011101010011111111101010011010010110011011101111,14800461520794508376,1100110101100101110011010101011001000010110010110101110001011000,14073417227904795511,1100001101001110110100100110011110010101001000001100001101110111,8401800644518290159,0111010010011001001100010010101111101010001010010010001011101111
69,0305cc3754a78ef5f566c532548f51b7,8681951064393416316,0111100001111100011111000111111001111110011111100111111001111100,12801662967810794148,1011000110101000101001001010010010100010101000101010001010100100,15008890799644302765,1101000001001010010010101010100101101001011011010101110110101101,8105485871090909760,0111000001111100011110000111010001111110010100100100001001000000
70,030da7510113c28ee68df8a19c643bb0,33220778526719774,0000000001110110000001100001111100111111001111110011111100011110,7549412202858575986,0110100011000100111001100110011001100110011000100111100001110010,10691680317684280229,1001010001100000011110101001101000011011100110110110101110100101,32094874324909854,0000000001110010000001100001111000111111001111110011111100011110
